,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
474,BROCCOLI/CAULIFLOWER,BROCCOLI WHOLE&CROWNS,7051.969999999788,4269
3576,TOMATOES,TOMATOES HOTHOUSE ON THE VINE,11059.45999999997,4245
3802,VEGETABLES SALAD,VARIETY LETTUCE,5803.449999999722,4220
2544,MILK BY-PRODUCTS,REFRIG DIPS,5893.039999999971,4159
1062,DELI MEATS,MEAT: LUNCHMEAT BULK,11296.489999999967,4141
592,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,7373.869999999907,4111
949,COOKIES,COOKIES: REGULAR,9891.959999999825,4092
1137,DISHWASH DETERGENTS,LIQUID DISH DETERGENT,7906.109999999964,4051
2379,LUNCHMEAT,PEPPERONI/SALAMI,9941.859999999831,4010
3021,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,4066.220000000006,3990
1698,FRZN NOVELTIES/WTR ICE,WATER ICE,8911.539999999919,3988
813,CITRUS,LIMES,1912.58,3979
3214,SHORTENING/OIL,VEGETABLE/SALAD OIL,9223.53999999992,3916
1242,DRY MIX DESSERTS,GELATIN,2130.059999999994,3901
2584,MOLASSES/SYRUP/PANCAKE MIXS,MOLASSES & SYRUPS,10026.189999999886,3886
2483,MEAT - MISC,BREAST - BONELESS(IQF),26242.020000001325,3884
2952,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),11120.770000000008,3882
176,BAG SNACKS,BAGGED CHEESE SNACKS,7424.219999999985,3773
